month,label,entry_policy,stop_policy,delta_vs_control_r,dollars_at_50_max_case_risk,expectancy_per_filled_case_r,expectancy_per_population_case_r,filled_cases,flat_cases,gross_negative_r,gross_positive_r,losing_cases,maximum_drawdown_r,median_stop_distance_ratio_to_control,net_r,no_fill_cases,original_positive_cases,original_positive_converted_to_loss,original_positive_retained,original_positive_unfilled,population,profit_factor,retest_filled_cases,retest_opportunity_cases,stop_disposition_cases,stop_fallbacks,stop_replacements,target_disposition_cases,time_exit_disposition_cases,win_rate_filled,winning_cases,outcome_counts_json
2022_09,September 2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-0.3673031295422948,119.04532832400115,0.03261515844493182,0.03261515844493182,73,0,-39.0,41.38090656648001,39,15.643330036824738,0.8240642170329653,2.380906566480023,0,37,3,34,0,73,1.0610488863200003,0,43,39,22,51,34,0,0.4657534246575342,34,"{""STOP"":39,""TARGET"":34}"
2022_09,September 2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,2.659082826790215,270.3646261406266,0.07407250031250046,0.07407250031250046,73,0,-36.0,41.407292522812526,36,11.771464236589715,1.0,5.407292522812533,0,37,0,37,0,73,1.1502025700781258,0,43,36,66,7,37,0,0.5068493150684932,37,"{""STOP"":36,""TARGET"":37}"
2022_09,September 2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,-8.122505345414375,-268.7147824696029,-0.12498361975330366,-0.07362048834783641,43,30,-26.0,20.625704350607943,26,9.549174956869367,1.0,-5.3742956493920575,30,37,0,17,20,73,0.7932963211772286,43,43,26,0,0,17,0,0.3953488372093023,17,"{""NO_FILL"":30,""STOP"":26,""TARGET"":17}"
2022_09,September 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-1.7929367698219312,47.763646310019325,0.022215649446520616,0.013085930495895706,43,30,-29.0,29.955272926200387,29,10.911743523142123,0.5554699946893465,0.9552729262003865,30,37,3,14,20,73,1.0329404457310478,43,43,29,1,72,14,0,0.32558139534883723,14,"{""NO_FILL"":30,""STOP"":29,""TARGET"":14}"
2022_09,September 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-6.901444966835895,-207.66176354067883,-0.09658686676310643,-0.05689363384676132,43,30,-27.0,22.846764729186425,27,10.918177464224948,0.8240642170329653,-4.1532352708135765,30,37,1,16,20,73,0.8461764714513491,43,43,27,22,51,16,0,0.37209302325581395,16,"{""NO_FILL"":30,""STOP"":27,""TARGET"":16}"
2022_09,September 2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,-6.331687075683824,-179.17386898307535,-0.08333668324794202,-0.04908873122823982,43,30,-26.0,22.416522620338498,26,8.74126179939465,1.0,-3.583477379661507,30,37,0,17,20,73,0.8621739469360961,43,43,26,66,7,17,0,0.3953488372093023,17,"{""NO_FILL"":30,""STOP"":26,""TARGET"":17}"
2022_09,September 2022,CONFIRMED_25_75_RETEST_SPLIT,CONTROL_V2_FILLED_STOP,-6.091879009060782,-167.1834656519232,-0.04580368921970499,-0.04580368921970499,73,0,-28.5,25.156330686961535,36,10.102437560618188,1.0,-3.3436693130384643,0,37,0,37,0,73,0.8826782697179486,43,43,36,0,0,37,0,0.5068493150684932,37,"{""SPLIT_CONTROL_STOP_NO_RETEST"":10,""SPLIT_CONTROL_TARGET_NO_RETEST"":20,""SPLIT_STOP_STOP"":26,""SPLIT_TARGET_TARGET"":17}"
2022_09,September 2022,CONFIRMED_25_75_RETEST_SPLIT,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2.2641397156275374,250.61747058249276,0.06866232070753225,0.06866232070753225,73,0,-32.25,37.26234941164986,42,10.626636616478738,0.5554699946893465,5.012349411649855,0,37,6,31,0,73,1.1554216871829412,43,43,42,1,72,31,0,0.4246575342465753,31,"{""SPLIT_CONTROL_STOP_NO_RETEST"":13,""SPLIT_CONTROL_TARGET_NO_RETEST"":17,""SPLIT_STOP_STOP"":29,""SPLIT_TARGET_TARGET"":14}"
2022_09,September 2022,CONFIRMED_25_75_RETEST_SPLIT,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-5.267909507512494,-125.98499057450883,-0.03451643577383803,-0.03451643577383803,73,0,-30.0,27.48030018850983,39,12.07145695392926,0.8240642170329653,-2.5196998114901765,0,37,3,34,0,73,0.916010006283661,43,43,39,22,51,34,0,0.4657534246575342,34,"{""SPLIT_CONTROL_STOP_NO_RETEST"":12,""SPLIT_CONTROL_TARGET_NO_RETEST"":18,""SPLIT_STOP_STOP"":27,""SPLIT_TARGET_TARGET"":16}"
2022_09,September 2022,CONFIRMED_25_75_RETEST_SPLIT,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,-4.083994600065315,-66.78924520214986,-0.018298423343054756,-0.018298423343054756,73,0,-28.5,27.164215095957005,36,9.337097990028832,1.0,-1.3357849040429972,0,37,0,37,0,73,0.9531303542441054,43,43,36,66,7,37,0,0.5068493150684932,37,"{""SPLIT_CONTROL_STOP_NO_RETEST"":10,""SPLIT_CONTROL_TARGET_NO_RETEST"":20,""SPLIT_STOP_STOP"":26,""SPLIT_TARGET_TARGET"":17}"
