scope,entry_policy,stop_policy,population,filled_cases,no_fill_cases,retest_filled_cases,retest_opportunity_cases,winning_cases,losing_cases,flat_cases,target_disposition_cases,stop_disposition_cases,time_exit_disposition_cases,win_rate_filled,gross_positive_r,gross_negative_r,net_r,expectancy_per_population_case_r,expectancy_per_filled_case_r,profit_factor,maximum_drawdown_r,dollars_at_50_max_case_risk,stop_replacements,stop_fallbacks,median_stop_distance_ratio_to_control,original_positive_cases,original_positive_retained,original_positive_converted_to_loss,original_positive_unfilled,delta_vs_control_r,outcome_counts_json
january_2022,CONFIRMED_25_75_RETEST_SPLIT,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,65,65,0,39,39,36,29,0,35,29,1,0.5538461538461539,30.69821304152474,-21.5,9.198213041524745,0.14151096986961148,0.14151096986961148,1.4278238623964994,9.475032386525688,459.9106520762373,49,16,0.8007532467532159,40,36,4,0,-2.978424233281542,"{""SPLIT_CONTROL_STOP_NO_RETEST"":10,""SPLIT_CONTROL_TARGET_NO_RETEST"":15,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":1,""SPLIT_STOP_STOP"":19,""SPLIT_TARGET_TARGET"":20}"
january_2022,CONFIRMED_25_75_RETEST_SPLIT,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,65,65,0,39,39,39,26,0,38,26,1,0.6,29.469912204206835,-19.25,10.219912204206837,0.15722941852625905,0.15722941852625905,1.5309045300886668,7.979712777163156,510.99561021034185,11,54,1.0,40,39,1,0,-1.9567250705994503,"{""SPLIT_CONTROL_STOP_NO_RETEST"":9,""SPLIT_CONTROL_TARGET_NO_RETEST"":16,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":1,""SPLIT_STOP_STOP"":17,""SPLIT_TARGET_TARGET"":22}"
february_2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,61,61,0,0,36,33,28,0,32,26,3,0.5409836065573771,37.024561531016786,-26.21138923154525,10.813172299471535,0.17726511966346778,0.17726511966346778,1.412537168631182,8.873559652673183,540.6586149735767,0,0,1.0,33,33,0,0,0.0,"{""STOP"":26,""TARGET"":32,""TIME_EXIT"":3}"
february_2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,61,61,0,0,36,25,36,0,24,36,1,0.4098360655737705,41.642235001885865,-36.0,5.642235001885866,0.09249565576862076,0.09249565576862076,1.156728750052385,19.221655320639645,282.1117500942933,57,4,0.39377319109464815,33,25,8,0,-5.170937297585669,"{""STOP"":36,""TARGET"":24,""TIME_EXIT"":1}"
february_2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,61,61,0,0,36,29,32,0,28,32,1,0.47540983606557374,40.05771167397693,-32.0,8.057711673976927,0.13209363399962176,0.13209363399962176,1.2518034898117791,9.550468061761444,402.88558369884635,52,9,0.7142500890630817,33,29,4,0,-2.7554606254946084,"{""STOP"":32,""TARGET"":28,""TIME_EXIT"":1}"
february_2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,61,61,0,0,36,33,28,0,32,26,3,0.5409836065573771,39.71760847944777,-26.21138923154525,13.506219247902518,0.2214134302934839,0.2214134302934839,1.5152805571880128,8.873559652673183,675.3109623951259,6,55,1.0,33,33,0,0,2.6930469484309825,"{""STOP"":26,""TARGET"":32,""TIME_EXIT"":3}"
february_2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,61,36,25,36,36,17,19,25,16,19,1,0.4722222222222222,21.692206231931074,-19.0,2.692206231931073,0.044134528392312675,0.0747835064425298,1.1416950648384776,6.612835194026655,134.61031159655366,0,0,1.0,33,16,0,17,-8.120966067540461,"{""NO_FILL"":25,""STOP"":19,""TARGET"":16,""TIME_EXIT"":1}"
february_2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,61,36,25,36,36,10,26,25,10,26,0,0.2777777777777778,18.684615504454673,-26.0,-7.31538449554533,-0.1199243359925464,-0.20320512487625916,0.7186390578636412,19.38003548221603,-365.7692247772665,57,4,0.39377319109464815,33,10,6,17,-18.128556795016866,"{""NO_FILL"":25,""STOP"":26,""TARGET"":10}"
february_2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,61,36,25,36,36,13,23,25,13,23,0,0.3611111111111111,19.727142255026635,-23.0,-3.2728577449733685,-0.05365340565530112,-0.09091271513814912,0.8577018371750711,10.49827112063735,-163.64288724866842,52,9,0.7142500890630817,33,13,3,17,-14.086030044444904,"{""NO_FILL"":25,""STOP"":23,""TARGET"":13}"
february_2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,61,36,25,36,36,17,19,25,16,19,1,0.4722222222222222,25.445782614580217,-19.0,6.445782614580218,0.10566856745213472,0.17904951707167271,1.3392517165568536,6.612835194026655,322.28913072901094,6,55,1.0,33,16,0,17,-4.367389684891317,"{""NO_FILL"":25,""STOP"":19,""TARGET"":16,""TIME_EXIT"":1}"
