trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,evidence_segment
18e79ed51cbf147c89c5460b7dbe843224d69c3f079a123a093ae1607b3a14ef,2022-05-04T11:00:00Z,2022-05-04T14:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-04T14:05:00Z,1866.84,1872.16,1861.45,STOP,2022-05-04T21:00:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
21af747bf34b11cb1014fd35afa808b757d19e5b95e5191c7f8e6f1def09dda2,2022-05-04T16:00:00Z,2022-05-04T19:00:00Z,LONG,TARGET,0.5136690647482385,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1872.16,,,0.0,EXPOSED_HISTORICAL_REGRESSION
eef268db4bbf5d2136aaec1b81d402e40157e4cc63efefd09a863b931a3f384f,2022-05-04T16:00:00Z,2022-05-04T19:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1861.45,,,0.0,EXPOSED_HISTORICAL_REGRESSION
86875e3a1d90d0aedb63dd553ddb36001fcc55dc32da68dc27d2a4e1f17b2598,2022-05-05T04:00:00Z,2022-05-05T07:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-05T09:00:00Z,1899.05,1903.34,1861.81,STOP,2022-05-05T15:30:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
7ebc136269af8a05f5c8f843f50d7f6060b770e5a0afb763a638c0a4f6261dc7,2022-05-05T09:00:00Z,2022-05-05T12:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1861.81,,,0.0,EXPOSED_HISTORICAL_REGRESSION
a07f3dec25581115a14e9ea32fa5426d9dc8265f80b7191d5dac4654cb98dd36,2022-05-05T11:00:00Z,2022-05-05T14:00:00Z,LONG,TARGET,0.850072780203758,True,INITIAL_CONFIRMATION_TARGET,2022-05-05T14:10:00Z,1900.13,1889.58,1902.29,TARGET,2022-05-05T15:18:00Z,0.20473933649287368,EXPOSED_HISTORICAL_REGRESSION
8ae0197d6c8e22d21d57447e4080bb9a0dd48086e0d50a41998bd4291f1e939f,2022-05-05T19:00:00Z,2022-05-05T22:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-05T22:05:00Z,1878.01,1872.48,1909.79,STOP,2022-05-06T03:50:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
397e00376edd008198010b38381571310fbfe8508753387a044133db1c0443c9,2022-05-06T04:00:00Z,2022-05-06T07:00:00Z,LONG,TARGET,0.36832412523019825,True,INITIAL_CONFIRMATION_TARGET,2022-05-06T08:35:00Z,1877.75,1866.12,1880.98,TARGET,2022-05-06T11:51:00Z,0.27773000859845126,EXPOSED_HISTORICAL_REGRESSION
5883a87a57a1a6a40decae1c6aee137758e6de4da1da889ec9c9071477c7eee7,2022-05-06T08:00:00Z,2022-05-06T11:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1866.12,,,0.0,EXPOSED_HISTORICAL_REGRESSION
c13b18f54a6dac31651678ed0fb040bf0a592478f1d521fb71489fd9ed28dee4,2022-05-06T15:00:00Z,2022-05-06T18:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-05-06T20:15:00Z,1883.69,1892.56,1873.06,TARGET,2022-05-09T07:55:00Z,1.1984216459977723,EXPOSED_HISTORICAL_REGRESSION
338f100831a983a270272542e4a746beb6ca2ae9a4f4d55fcce245846fdfa3bc,2022-05-06T16:00:00Z,2022-05-06T19:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1890.04,,,0.0,EXPOSED_HISTORICAL_REGRESSION
db3aceeb28b41794862b314e86a755274121c9b674ae81de341dab7e60922bec,2022-05-06T18:00:00Z,2022-05-06T21:00:00Z,SHORT,TARGET,0.7659157688540557,True,INITIAL_CONFIRMATION_TARGET,2022-05-06T22:25:00Z,1881.34,1892.54,1874.51,TARGET,2022-05-09T05:43:00Z,0.6098214285714196,EXPOSED_HISTORICAL_REGRESSION
cb518a69d6363f8e0b82da0b37bd7257d79b16e96d9969e7f8de1af0b4d6b03e,2022-05-09T13:00:00Z,2022-05-09T16:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-09T16:15:00Z,1869.5,1856.12,1892.54,STOP,2022-05-09T20:51:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
953c61e69fc408b99fa8de62be615223352d0d5a8b83bb9e99f0b0ff983e1b67,2022-05-09T16:00:00Z,2022-05-09T19:00:00Z,SHORT,TARGET,0.5102840352595512,True,INITIAL_CONFIRMATION_TARGET,2022-05-09T20:25:00Z,1857.37,1871.54,1856.12,TARGET,2022-05-09T20:51:00Z,0.0882145377558217,EXPOSED_HISTORICAL_REGRESSION
